Source,Target,Type,Weight
566,4154,Directed,1
566,56,Directed,1
566,1249,Directed,1
566,4159,Directed,1
566,1251,Directed,1
566,618,Directed,1
566,3032,Directed,1
566,1259,Directed,1
566,60,Directed,1
566,621,Directed,1
566,63,Directed,1
566,64,Directed,1
566,1831,Directed,1
566,1267,Directed,1
566,1269,Directed,1
566,68,Directed,1
566,633,Directed,1
566,71,Directed,1
566,3046,Directed,1
566,635,Directed,1
566,77,Directed,1
566,3050,Directed,1
566,4184,Directed,1
566,641,Directed,1
566,3635,Directed,1
566,3053,Directed,1
566,83,Directed,1
566,1281,Directed,1
566,2443,Directed,1
566,90,Directed,1
566,649,Directed,1
566,1854,Directed,1
566,2451,Directed,1
566,1293,Directed,1
566,2455,Directed,1
566,100,Directed,1
566,1296,Directed,1
566,2460,Directed,1
566,2461,Directed,1
566,103,Directed,1
566,1869,Directed,1
566,104,Directed,1
566,107,Directed,1
566,4197,Directed,1
566,110,Directed,1
566,1303,Directed,1
566,3657,Directed,1
566,3081,Directed,1
566,3082,Directed,1
566,1883,Directed,1
566,1311,Directed,1
566,3666,Directed,1
566,4218,Directed,1
566,4219,Directed,1
566,4222,Directed,1
566,680,Directed,1
566,3090,Directed,1
566,4223,Directed,1
566,3091,Directed,1
566,1896,Directed,1
566,4225,Directed,1
566,3671,Directed,1
566,2478,Directed,1
566,4230,Directed,1
566,133,Directed,1
566,1320,Directed,1
566,4233,Directed,1
566,2483,Directed,1
566,2484,Directed,1
566,689,Directed,1
566,138,Directed,1
566,4241,Directed,1
566,4243,Directed,1
566,146,Directed,1
566,1905,Directed,1
566,1332,Directed,1
566,4251,Directed,1
566,1908,Directed,1
566,147,Directed,1
566,4252,Directed,1
566,3690,Directed,1
566,3113,Directed,1
566,1338,Directed,1
566,1340,Directed,1
566,1917,Directed,1
566,3697,Directed,1
566,158,Directed,1
566,3698,Directed,1
566,720,Directed,1
566,1354,Directed,1
566,722,Directed,1
566,3703,Directed,1
566,3706,Directed,1
566,1359,Directed,1
566,1929,Directed,1
566,4275,Directed,1
566,3132,Directed,1
566,1936,Directed,1
566,3715,Directed,1
566,2510,Directed,1
566,1937,Directed,1
566,1368,Directed,1
566,3138,Directed,1
566,1373,Directed,1
566,1375,Directed,1
566,1945,Directed,1
566,181,Directed,1
566,738,Directed,1
566,741,Directed,1
566,1953,Directed,1
566,1383,Directed,1
566,4299,Directed,1
566,1959,Directed,1
566,1387,Directed,1
566,1964,Directed,1
566,3164,Directed,1
566,3741,Directed,1
